time,distance,angle1,pos1x,pos1y,angle2,pos2x,pos2y
1020.764,390.3251559,-161.9444939,164.4529921,-110.8769481,-103.3613899,-168.205996,110.6509631
1020.809,393.7213655,-120.2738572,152.3650773,-117.9331584,-139.0827554,-177.3344288,100.1192188
1020.855,382.8433625,-82.99091612,138.5165199,-116.2305406,-163.9261179,-181.1631993,86.83140132
1020.901,364.9813622,-62.2703395,126.3127351,-109.8153492,-170.9074801,-183.3202679,73.35310516
1020.948,346.1596404,-60.51586873,114.4761806,-103.1228759,21.9328795,-178.2920902,85.84037895
1020.994,361.5583713,108.9383923,127.2307793,-107.4993016,18.37450822,-174.0000928,98.76179057
1021.042,378.5905958,116.0187622,139.4980802,-113.4874375,-2.216087613,-174.5331715,112.537386
1021.089,400.0390859,144.9332849,147.4663183,-124.8391056,-44.25517349,-184.3034161,122.5650111
1021.134,417.9589777,-159.2068915,142.4471934,-138.0568341,-104.2141511,-198.048894,119.0832579
1021.182,415.4684248,-90.52362198,128.1809565,-138.1872158,-161.682576,-202.4974447,105.6457923
1021.228,397.3081098,-37.66751473,119.5595205,-127.0193003,159.0093142,-197.492061,92.59998342
1021.275,376.0706242,-9.980679216,117.1579024,-113.3721383,140.93869,-188.8207296,81.91517886
1021.322,354.8473025,-4.99299421,115.9716406,-99.79398213,-34.90861246,-196.5741027,93.0258191
1021.369,361.1451887,4.245780144,116.9838764,-86.15911633,-38.05380117,-204.9642173,103.7439159
1021.415,371.5237722,20.02878764,121.6889765,-73.25214118,-51.57757335,-215.709424,112.2673119
1021.46,389.6017954,47.06793912,131.8297052,-63.81821473,-83.17936877,-229.5070972,113.917624
1021.508,415.4943827,91.75182641,145.8499881,-64.24702046,-140.6737514,-238.4775851,102.9680677
1021.556,430.1937867,152.880171,152.3191268,-76.8780446,147.1324619,-230.7159425,90.95547718
1021.602,416.1078584,-146.9285387,144.5802749,-88.76235462,89.02460347,-216.5569159,91.19654205
1021.648,392.515162,-101.4371818,130.8240568,-91.54538593,54.50944142,-205.2189015,99.28105054
1021.694,372.925608,-72.99236208,117.5659595,-87.49004614,39.58383345,-196.4705295,109.862093
1021.74,357.2018336,-60.09239809,105.6825791,-80.65470117,-138.6180002,-205.4426675,99.67875263
1021.786,346.0178555,-58.48278525,94.0921364,-73.54727774,54.3641443,-194.5030917,107.5210793
1021.833,353.4061499,103.2120277,107.1442153,-76.61150601,-120.0420056,-206.2189685,100.7454574
1021.88,373.2708602,105.2842113,120.2638809,-80.19675478,-135.3128657,-215.8762908,90.98208653
1021.927,390.8747319,124.5008742,131.6137651,-87.99756902,-168.1875977,-218.7235218,77.36788336
1021.974,398.3355992,153.904988,137.7164145,-100.4573719,151.4768032,-212.0462662,65.08177318
1022.02,392.4677698,-177.1361752,137.0234571,-114.3096385,117.0090333,-199.6402844,58.75814577
1022.067,379.705824,-156.5930035,131.5470571,-126.9606136,95.30320932,-185.9022841,57.48293389
1022.113,366.8261621,-147.4506517,124.1914784,-138.4846443,86.47704717,-172.259852,58.32282655
1022.158,355.0973212,29.38157254,130.8435103,-126.6703066,-89.62027402,-185.8105276,58.41263455
1022.206,368.8930675,38.1587185,139.2880339,-115.9233072,-100.5133415,-199.2696546,55.914891
1022.252,387.3414614,59.82920033,151.2157136,-108.9893674,-129.8548029,-209.9198714,47.02419284
1022.299,406.6588474,95.22358483,165.0917899,-110.2579486,-178.5136503,-210.2847417,32.9623373
1022.346,414.1874279,138.9941546,174.2893115,-120.8363071,125.2989218,-198.7428727,24.79056462
1022.38,405.4264027,-178.5558532,173.9363638,-134.8363588,77.87251909,-185.0022635,27.74319003
1022.426,391.1137313,-142.5139165,165.4526607,-145.8980979,44.75878775,-175.2071029,37.62117409
1022.474,378.5427626,-113.5663777,152.7399342,-151.4432699,24.21602516,-169.552622,50.19355892
1022.522,368.7305257,-91.39549179,138.9423188,-151.77939,13.48549945,-166.3607524,63.50349107
1022.569,360.7841063,-75.82262849,125.6249509,-148.4151737,10.70139312,-163.8339055,76.8746684
1022.615,353.6097275,-67.02303407,113.0413483,-143.0797206,-163.9083344,-167.5857718,63.86892242
1022.662,361.0679764,102.6592302,126.2003161,-146.0353847,-166.9763108,-170.6529915,50.60835051
1022.708,343.7113279,-80.26402978,112.8348577,-143.7421481,28.31236124,-164.2800622,62.4380498
1022.756,355.7387267,86.1385655,126.2583408,-142.8361037,-148.4263655,-171.3786276,50.88759018
1022.803,344.9830647,-97.73239521,112.8302684,-144.659382,45.59056984,-161.7706401,60.2995251
1022.848,349.4013646,65.9245944,125.0888526,-139.182166,-124.8107948,-172.8497876,52.59622094
1022.894,348.0705184,-118.7501553,113.2151384,-145.6963506,66.11868685,-160.5232189,58.05379524
1022.941,343.0970321,43.49288145,122.4464374,-135.9661703,-97.97834521,-173.8241855,56.18959239
1022.989,352.289098,-142.3780783,114.1862848,-146.683712,88.73255678,-160.304603,56.48870864
1023.035,337.9642843,20.12489384,118.8019629,-134.0877389,-70.23172755,-172.8957594,61.01392936
1023.081,356.1513497,-167.9445971,115.9804442,-147.2991111,112.6169228,-160.3771714,55.79860546
1023.128,334.4324015,-3.983645674,115.047466,-133.9019486,-42.81547868,-169.4465011,65.58728476
1023.174,357.9743248,164.4825708,118.6523626,-146.8854474,138.2101966,-160.3969631,55.46230144
1023.222,332.4761243,-29.82461292,111.9645774,-135.2195396,-15.2659277,-163.9053648,68.31688737
